company,price,weight,star_rating,total_comments,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
sheba,481.0,0.42,4.5,380.0,1.0,0,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
purepet,199.0,1.2,4.2,567.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,389.0,1.1,4.3,386.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
purina,462.0,0.425,4.2,9.0,0.0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
meat,478.0,1.2,,,0.5,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kitty,500.0,1.2,3.9,29.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
purina,446.0,1.1,4.2,360.0,0.5,1,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
whiskas,,0.085,4.7,5.0,0.5,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
farmina,1170.0,1.5,4.6,294.0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
purina,1930.0,6.5,4.2,65.0,1.0,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
iams,234.0,0.4,4.3,7.0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
purepet,375.0,1.05,3.5,560.0,0.0,1,0.5,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
whiskas,486.0,0.84,4.4,116.0,1.0,1,0.5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
purina,462.0,0.425,4.1,2.0,0.0,0,0.5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
royal,1500.0,2.0,4.5,1853.0,1.0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
purepet,528.0,1.68,3.4,328.0,0.0,1,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
meat,269.0,0.14,3.3,789.0,1.0,1,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
me-o,369.0,1.2,4.4,234.0,0.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
me-o,415.0,1.1,4.4,297.0,0.5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitty,520.0,1.2,4.8,8.0,1.0,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sheba,1116.0,1.68,4.2,330.0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,1850.0,7.0,4.4,314.0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmina,5590.0,5.0,4.5,537.0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
me-o,1850.0,7.0,4.5,116.0,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
royal,1188.0,0.085,4.3,538.0,1.0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
farmina,750.0,0.3,4.5,18.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmina,1900.0,1.5,4.4,531.0,0.5,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
farmina,4761.0,5.0,4.5,791.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
farmina,1190.0,1.5,4.5,281.0,0.5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,,1.1,4.3,315.0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iams,510.0,1.0,4.2,9.0,1.0,0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
kennel,300.0,0.86,3.1,228.0,1.0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heads,356.0,0.2,4.2,19.0,0.0,1,0.5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
whiskas,486.0,0.84,4.2,126.0,1.0,0,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sheba,658.0,0.84,4.3,493.0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
whiskas,,1.02,4.6,2187.0,1.0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
whiskas,40.0,0.085,4.5,2309.0,1.0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
royal,480.0,0.4,4.5,449.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
farmina,2100.0,1.5,4.5,157.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
purina,462.0,0.425,4.1,20.0,0.0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
purina,462.0,0.425,3.9,6.0,0.0,1,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
me-o,420.0,1.2,4.4,84.0,1.0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
schesir,474.0,0.3,5.0,4.0,0.0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
drools,800.0,3.0,4.0,388.0,0.5,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,389.0,1.1,4.2,146.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me-o,1900.0,6.8,4.5,162.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schesir,474.0,0.3,5.0,4.0,0.0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
whiskas,1920.0,4.08,4.5,97.0,1.0,1,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
whiskas,972.0,1.68,4.4,944.0,1.0,1,0.5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1
royal,1500.0,1.02,4.5,455.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"prodiet,",200.0,0.5,2.5,2.0,0.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
me-o,1850.0,7.0,4.3,228.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmina,2250.0,1.5,4.7,29.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
royal,3860.0,4.0,4.6,779.0,1.0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
royal,4010.0,4.0,4.2,85.0,0.5,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
purina,470.0,1.1,4.2,144.0,1.0,0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
farmina,2250.0,1.5,4.7,360.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
purina,462.0,0.425,3.6,8.0,0.0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
me-o,1850.0,7.0,4.3,263.0,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
matisse,350.0,0.4,4.4,114.0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meo,,2.8,4.3,20.0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kennel,480.0,0.96,3.3,134.0,1.0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
